Animat,Speed,Size,Population,Day,Meanspeed,Meansize
33,2.0,12.0,112.0,5,2.0047114,11.996163
34,2.0,12.0,112.0,5,2.0047114,11.996163
35,2.0,12.0,112.0,5,2.0047114,11.996163
36,2.0,12.0,112.0,5,2.0047114,11.996163
37,2.0,12.0,112.0,5,2.0047114,11.996163
38,2.0,12.0,112.0,5,2.0047114,11.996163
39,2.0,12.0,112.0,5,2.0047114,11.996163
40,2.0,12.0,112.0,5,2.0047114,11.996163
41,2.0,12.0,112.0,5,2.0047114,11.996163
42,2.0,12.0,112.0,5,2.0047114,11.996163
43,2.0,12.0,112.0,5,2.0047114,11.996163
44,2.0,12.0,112.0,5,2.0047114,11.996163
45,2.0865963,12.0,112.0,5,2.0047114,11.996163
46,2.0,12.0,112.0,5,2.0047114,11.996163
47,2.0,12.0,112.0,5,2.0047114,11.996163
48,2.0,12.0,112.0,5,2.0047114,11.996163
49,2.0,12.0,112.0,5,2.0047114,11.996163
50,2.0,12.0,112.0,5,2.0047114,11.996163
51,2.0,12.0,112.0,5,2.0047114,11.996163
52,2.0,12.0,112.0,5,2.0047114,11.996163
53,2.0,12.0,112.0,5,2.0047114,11.996163
54,2.0,12.0,112.0,5,2.0047114,11.996163
55,2.0,12.0,112.0,5,2.0047114,11.996163
56,2.0,12.0,112.0,5,2.0047114,11.996163
57,2.0,12.0,112.0,5,2.0047114,11.996163
58,2.0,12.0,112.0,5,2.0047114,11.996163
59,2.0,12.0,112.0,5,2.0047114,11.996163
60,2.0,12.3591175,112.0,5,2.0047114,11.996163
61,2.0865963,12.0,112.0,5,2.0047114,11.996163
62,2.0,12.0,112.0,5,2.0047114,11.996163
63,2.0,12.0,112.0,5,2.0047114,11.996163
64,2.0,12.0,112.0,5,2.0047114,11.996163
65,2.0,12.0,112.0,5,2.0047114,11.996163
66,2.0,12.0,112.0,5,2.0047114,11.996163
67,2.0,12.0,112.0,5,2.0047114,11.996163
68,2.0,11.605074,112.0,5,2.0047114,11.996163
69,2.0,11.789806,112.0,5,2.0047114,11.996163
70,2.0,12.999722,112.0,5,2.0047114,11.996163
71,2.0,12.0,112.0,5,2.0047114,11.996163
72,2.0,12.0,112.0,5,2.0047114,11.996163
73,2.0,11.703561,112.0,5,2.0047114,11.996163
74,2.0,12.0,112.0,5,2.0047114,11.996163
75,2.0,12.0,112.0,5,2.0047114,11.996163
76,2.0,12.0,112.0,5,2.0047114,11.996163
77,2.0,12.293197,112.0,5,2.0047114,11.996163
78,2.0,12.0,112.0,5,2.0047114,11.996163
79,2.0,12.0,112.0,5,2.0047114,11.996163
80,2.0,11.703561,112.0,5,2.0047114,11.996163
81,2.0,12.0,112.0,5,2.0047114,11.996163
82,2.0,11.789806,112.0,5,2.0047114,11.996163
83,2.0,12.0,112.0,5,2.0047114,11.996163
84,2.0,12.0,112.0,5,2.0047114,11.996163
85,2.0,12.0,112.0,5,2.0047114,11.996163
86,2.065188,12.0,112.0,5,2.0047114,11.996163
87,2.0,12.0,112.0,5,2.0047114,11.996163
88,2.0,12.0,112.0,5,2.0047114,11.996163
89,2.0865963,12.0,112.0,5,2.0047114,11.996163
90,2.0,12.0,112.0,5,2.0047114,11.996163
91,2.0,12.0,112.0,5,2.0047114,11.996163
92,2.0,12.0,112.0,5,2.0047114,11.996163
93,2.0,12.0,112.0,5,2.0047114,11.996163
94,2.0,12.0,112.0,5,2.0047114,11.996163
95,2.0,12.0,112.0,5,2.0047114,11.996163
96,2.0295227,12.0,112.0,5,2.0047114,11.996163
97,2.0,12.0,112.0,5,2.0047114,11.996163
98,2.0,12.0,112.0,5,2.0047114,11.996163
99,2.0,12.0,112.0,5,2.0047114,11.996163
100,2.0,12.0,112.0,5,2.0047114,11.996163
101,2.0,12.0,112.0,5,2.0047114,11.996163
102,2.0865963,12.0,112.0,5,2.0047114,11.996163
103,2.0,12.0,112.0,5,2.0047114,11.996163
104,2.0,12.0,112.0,5,2.0047114,11.996163
105,2.0,12.0,112.0,5,2.0047114,11.996163
106,2.0,12.0,112.0,5,2.0047114,11.996163
107,2.0,12.0,112.0,5,2.0047114,11.996163
108,2.0,12.0,112.0,5,2.0047114,11.996163
109,2.0,12.0,112.0,5,2.0047114,11.996163
110,2.0,11.326441,112.0,5,2.0047114,11.996163
111,2.0,12.0,112.0,5,2.0047114,11.996163
0,2.0,12.0,118.0,6,2.006492,11.999666
1,2.0,12.0,118.0,6,2.006492,11.999666
2,2.0,12.0,118.0,6,2.006492,11.999666
3,2.0,12.0,118.0,6,2.006492,11.999666
4,2.0,12.0,118.0,6,2.006492,11.999666
5,2.0,12.0,118.0,6,2.006492,11.999666
6,2.0,12.0,118.0,6,2.006492,11.999666
7,2.0,12.0,118.0,6,2.006492,11.999666
8,2.0,12.0,118.0,6,2.006492,11.999666
9,2.0,12.0,118.0,6,2.006492,11.999666
10,2.0,12.0,118.0,6,2.006492,11.999666
11,2.0,12.0,118.0,6,2.006492,11.999666
12,2.0,12.0,118.0,6,2.006492,11.999666
13,2.0,12.0,118.0,6,2.006492,11.999666
14,2.0,12.0,118.0,6,2.006492,11.999666
15,2.0,12.0,118.0,6,2.006492,11.999666
16,2.0,12.0,118.0,6,2.006492,11.999666
17,2.0,12.0,118.0,6,2.006492,11.999666
18,2.0,12.0,118.0,6,2.006492,11.999666
19,2.0,12.0,118.0,6,2.006492,11.999666
20,2.0,12.0,118.0,6,2.006492,11.999666
21,2.0,12.0,118.0,6,2.006492,11.999666
22,2.0,12.0,118.0,6,2.006492,11.999666
23,2.0865963,12.0,118.0,6,2.006492,11.999666
24,2.0,12.0,118.0,6,2.006492,11.999666
25,2.0,12.0,118.0,6,2.006492,11.999666
26,2.0,12.0,118.0,6,2.006492,11.999666
27,2.0,12.0,118.0,6,2.006492,11.999666
28,2.0,12.0,118.0,6,2.006492,11.999666
29,2.0,12.0,118.0,6,2.006492,11.999666
30,2.0,12.0,118.0,6,2.006492,11.999666
31,2.0,12.0,118.0,6,2.006492,11.999666
32,2.0,12.0,118.0,6,2.006492,11.999666
33,2.0,12.0,118.0,6,2.006492,11.999666
34,2.0,12.0,118.0,6,2.006492,11.999666
35,2.0865963,12.0,118.0,6,2.006492,11.999666
36,2.0,12.0,118.0,6,2.006492,11.999666
37,2.0,12.0,118.0,6,2.006492,11.999666
38,2.0,12.0,118.0,6,2.006492,11.999666
39,2.0,12.0,118.0,6,2.006492,11.999666
40,2.0,12.0,118.0,6,2.006492,11.999666
41,2.0,12.0,118.0,6,2.006492,11.999666
42,2.0,12.0,118.0,6,2.006492,11.999666
43,2.0,12.0,118.0,6,2.006492,11.999666
44,2.0,12.0,118.0,6,2.006492,11.999666
45,2.0,12.0,118.0,6,2.006492,11.999666
46,2.0,12.0,118.0,6,2.006492,11.999666
47,2.0,12.0,118.0,6,2.006492,11.999666
48,2.0,12.3591175,118.0,6,2.006492,11.999666
49,2.0865963,12.0,118.0,6,2.006492,11.999666
50,2.0,12.0,118.0,6,2.006492,11.999666
51,2.0,12.0,118.0,6,2.006492,11.999666
52,2.0,12.0,118.0,6,2.006492,11.999666
53,2.0,12.0,118.0,6,2.006492,11.999666
54,2.0,12.0,118.0,6,2.006492,11.999666
55,2.0,12.0,118.0,6,2.006492,11.999666
56,2.0,11.605074,118.0,6,2.006492,11.999666
57,2.0,12.0,118.0,6,2.006492,11.999666
58,2.0,12.0,118.0,6,2.006492,11.999666
59,2.0,11.703561,118.0,6,2.006492,11.999666
60,2.0,12.0,118.0,6,2.006492,11.999666
61,2.0,12.0,118.0,6,2.006492,11.999666
62,2.0,12.293197,118.0,6,2.006492,11.999666
63,2.0,12.0,118.0,6,2.006492,11.999666
64,2.0,12.0,118.0,6,2.006492,11.999666
65,2.0,11.703561,118.0,6,2.006492,11.999666
66,2.0,12.0,118.0,6,2.006492,11.999666
67,2.0,11.789806,118.0,6,2.006492,11.999666
68,2.0,12.0,118.0,6,2.006492,11.999666
69,2.0,12.0,118.0,6,2.006492,11.999666
70,2.065188,12.0,118.0,6,2.006492,11.999666
71,2.0,12.0,118.0,6,2.006492,11.999666
72,2.0,12.0,118.0,6,2.006492,11.999666
73,2.0865963,12.0,118.0,6,2.006492,11.999666
74,2.0,12.0,118.0,6,2.006492,11.999666
75,2.0,12.0,118.0,6,2.006492,11.999666
76,2.0,12.0,118.0,6,2.006492,11.999666
77,2.0,12.0,118.0,6,2.006492,11.999666
78,2.0295227,12.0,118.0,6,2.006492,11.999666
79,2.0,12.0,118.0,6,2.006492,11.999666
80,2.0,12.0,118.0,6,2.006492,11.999666
81,2.0,12.0,118.0,6,2.006492,11.999666
82,2.0865963,12.0,118.0,6,2.006492,11.999666
83,2.0,12.0,118.0,6,2.006492,11.999666
84,2.0,12.0,118.0,6,2.006492,11.999666
85,2.0,12.0,118.0,6,2.006492,11.999666
86,2.0,12.0,118.0,6,2.006492,11.999666
87,2.0,12.0,118.0,6,2.006492,11.999666
88,2.0,12.0,118.0,6,2.006492,11.999666
89,2.0,12.0,118.0,6,2.006492,11.999666
90,2.0,12.0,118.0,6,2.006492,11.999666
91,2.0865963,12.0,118.0,6,2.006492,11.999666
92,2.0,12.0,118.0,6,2.006492,11.999666
93,2.0,12.0,118.0,6,2.006492,11.999666
94,2.0,12.0,118.0,6,2.006492,11.999666
95,2.0,12.0,118.0,6,2.006492,11.999666
96,2.065188,12.0,118.0,6,2.006492,11.999666
97,2.0,11.703561,118.0,6,2.006492,11.999666
98,2.0,12.0,118.0,6,2.006492,11.999666
99,2.0,12.0,118.0,6,2.006492,11.999666
100,2.0,12.293197,118.0,6,2.006492,11.999666
101,2.0,12.0,118.0,6,2.006492,11.999666
102,2.0,11.703561,118.0,6,2.006492,11.999666
103,2.0,12.0,118.0,6,2.006492,11.999666
104,2.0,12.0,118.0,6,2.006492,11.999666
105,2.0,12.0,118.0,6,2.006492,11.999666
106,2.0,12.0,118.0,6,2.006492,11.999666
107,2.0,12.0,118.0,6,2.006492,11.999666
108,2.0,12.0,118.0,6,2.006492,11.999666
109,2.0,12.0,118.0,6,2.006492,11.999666
110,2.0,12.0,118.0,6,2.006492,11.999666
111,2.0865963,12.068007,118.0,6,2.006492,11.999666
