timeStep,prey,predators
702,7083,25
703,7220,25
704,7208,24
705,7224,25
706,7170,25
707,7183,25
708,7258,26
709,7235,26
710,7206,26
711,7282,26
712,7283,26
713,7285,27
714,7301,26
715,7282,27
716,7336,26
717,7303,27
718,7324,28
719,7300,28
720,7381,26
721,7326,26
722,7308,27
723,7359,27
724,7315,27
725,7328,29
726,7326,29
727,7309,29
728,7335,28
729,7368,27
730,7360,27
731,7473,27
732,7411,27
733,7427,27
734,7414,27
735,7433,29
736,7426,29
737,7488,29
738,7442,29
739,7491,29
740,7466,29
741,7510,29
742,7469,29
743,7529,29
744,7514,28
745,7494,28
746,7504,28
747,7523,27
748,7559,27
749,7537,27
750,7557,27
751,7522,27
752,7562,27
753,7519,27
754,7609,27
755,7511,27
756,7621,27
757,7626,27
758,7602,27
759,7598,28
760,7624,28
761,7599,28
762,7621,28
763,7678,28
764,7621,28
765,7645,28
766,7609,28
767,7655,29
768,7645,29
769,7627,30
770,7678,30
771,7589,30
772,7647,29
773,7691,29
774,7692,29
775,7744,30
776,7692,31
777,7670,31
778,7632,31
779,7618,30
780,7655,30
781,7688,31
782,7695,31
783,7693,31
784,7678,31
785,7648,31
786,7717,31
787,7684,31
788,7686,31
789,7704,31
790,7732,31
791,7756,31
792,7737,31
793,7798,31
794,7729,30
795,7738,29
796,7718,28
797,7743,28
798,7762,28
799,7827,28
800,7804,28
801,7787,29
802,7759,28
803,7711,28
804,7706,28
805,7781,28
806,7767,28
807,7795,28
808,7823,28
809,7826,28
810,7831,28
811,7789,28
812,7823,27
813,7841,27
814,7774,26
815,7781,26
816,7794,27
817,7756,27
818,7772,28
819,7832,28
820,7821,28
821,7831,27
822,7775,27
823,7750,27
824,7786,27
825,7729,27
826,7643,27
827,7723,27
828,7740,26
829,7765,25
830,7802,24
831,7796,25
832,7748,24
833,7823,25
834,7783,24
835,7783,24
836,7837,25
837,7892,25
838,7896,25
839,7874,25
840,7850,25
841,7866,25
842,7807,25
843,7835,25
844,7806,25
845,7813,25
846,7826,25
847,7840,25
848,7842,25
849,7866,25
850,7821,26
851,7862,26
852,7792,26
853,7798,27
854,7781,27
855,7752,27
856,7815,27
857,7833,27
858,7829,28
859,7847,29
860,7770,29
861,7804,29
862,7815,29
863,7865,29
864,7853,29
865,7874,29
866,7809,30
867,7773,30
868,7901,30
869,7912,30
870,7943,30
871,7918,30
872,7912,31
873,7877,31
874,7899,31
875,7893,31
876,8001,31
877,7992,32
878,7921,32
879,7859,32
880,7875,32
881,7869,32
882,7817,33
883,7854,33
884,7862,33
885,7801,33
886,7875,33
887,7930,32
888,7933,31
889,7869,32
890,7913,32
891,7952,31
892,7961,31
893,7939,31
894,7955,31
895,7986,31
896,7996,32
897,7973,32
898,8025,33
899,7974,33
900,8014,34
901,7945,35
902,8018,36
903,7955,37
904,7946,38
905,7913,39
906,7844,40
907,7948,41
908,7898,41
909,7891,41
910,7891,43
911,7826,45
912,7913,45
913,7920,46
914,7910,45
915,7889,46
916,7799,45
917,7881,45
918,7911,44
919,7883,44
920,7888,44
921,7887,44
922,7953,44
923,7961,45
924,7963,45
925,7973,45
926,7963,45
927,7978,45
928,8014,45
929,8017,44
930,7890,44
931,7959,44
932,7860,42
933,8021,42
934,7968,42
935,7870,41
936,7856,41
937,7946,42
938,7865,42
939,7889,42
940,7937,42
941,7909,41
942,7908,42
943,7785,42
944,7978,42
945,7950,42
946,7944,42
947,8047,42
948,7995,43
949,7944,43
950,7988,43
951,7880,42
952,7897,42
953,7828,43
954,7850,43
955,7855,43
956,7880,44
957,7885,45
958,7989,45
959,7958,45
960,7982,45
961,7854,45
962,7910,43
963,7903,42
964,7897,42
965,7852,40
966,7853,40
967,7899,40
968,7867,40
969,7934,40
970,7914,40
971,7967,40
972,7915,42
973,7874,42
974,7881,42
975,7892,42
976,7891,42
977,7933,41
978,7948,40
979,7865,40
980,7902,41
981,7902,41
982,7991,41
983,7913,41
984,7899,46
985,7903,46
986,7916,46
987,7950,46
988,7943,46
989,7973,46
990,8034,45
991,7957,46
992,7951,45
993,7888,44
994,7957,44
995,7888,43
996,7951,43
997,7991,43
998,7987,42
999,7893,42
1000,7953,42
1001,7937,41
1002,7914,41
1003,7920,39
1004,7949,39
1005,7913,39
1006,7928,39
1007,7954,39
1008,7945,40
1009,7892,41
1010,7946,41
1011,7856,41
1012,7876,41
1013,7884,42
1014,7842,42
1015,7947,43
1016,7950,43
1017,7924,44
1018,7982,42
1019,7872,42
1020,7934,42
1021,7911,42
1022,7916,41
1023,7924,41
1024,7952,41
1025,7910,41
1026,7932,41
1027,7965,41
1028,7985,42
1029,7929,42
1030,7958,42
1031,7974,42
1032,8058,42
1033,8050,43
1034,8063,43
1035,7943,43
1036,7969,42
1037,7951,44
1038,7972,46
1039,8006,45
1040,8090,45
1041,7961,45
1042,7964,45
1043,8000,45
1044,7988,45
1045,7943,45
1046,7957,45
1047,7962,45
1048,7961,46
1049,7933,46
1050,7900,46
1051,7826,48
1052,7871,49
1053,7867,48
1054,7942,49
1055,7946,49
1056,7928,49
1057,7936,49
1058,7969,50
1059,7947,50
1060,7965,50
1061,7950,50
1062,7970,50
1063,7928,50
1064,7918,50
1065,7951,50
1066,7941,50
1067,7951,50
1068,7963,52
1069,8046,52
1070,7969,53
1071,7975,53
1072,7983,54
1073,7990,54
1074,8019,55
1075,7932,55
1076,7990,55
1077,7907,53
1078,7961,52
1079,7895,52
1080,7857,53
1081,7913,53
1082,8016,52
1083,8023,52
1084,8033,52
1085,8049,52
1086,8043,52
1087,7942,52
1088,7946,50
1089,7883,52
1090,7871,51
1091,7873,51
1092,7900,52
1093,7912,52
1094,7948,53
1095,7864,53
1096,7855,54
1097,7886,55
1098,7867,56
1099,7851,58
1100,7877,58
1101,7761,58
1102,7826,58
1103,7853,58
1104,7921,56
1105,7989,55
1106,7939,55
1107,7933,55
1108,7851,55
1109,7859,55
1110,7857,55
1111,7844,54
1112,7839,54
1113,7905,55
1114,7896,56
1115,7821,56
1116,7850,58
1117,7875,59
1118,7880,59
1119,7907,59
1120,7906,59
1121,7878,60
1122,7826,59
1123,7848,59
1124,7864,58
1125,7866,60
1126,7803,60
1127,7765,60
1128,7772,62
1129,7803,62
1130,7819,62
1131,7814,62
1132,7819,62
1133,7761,63
1134,7852,62
1135,7837,63
1136,7783,63
1137,7875,63
1138,7860,64
1139,7866,64
1140,7881,65
1141,7857,65
1142,7853,65
1143,7808,67
1144,7832,67
1145,7858,67
1146,7846,67
1147,7860,68
1148,7920,68
1149,7851,70
1150,7838,72
1151,7824,73
1152,7841,75
1153,7807,76
1154,7854,77
1155,7814,79
1156,7802,80
1157,7816,80
1158,7787,81
1159,7789,81
1160,7744,80
1161,7868,80
1162,7723,80
1163,7751,78
1164,7722,77
1165,7790,76
1166,7765,78
1167,7738,78
1168,7769,79
1169,7792,79
1170,7859,79
1171,7779,79
1172,7798,79
1173,7801,79
1174,7834,81
1175,7730,81
1176,7770,81
1177,7809,80
1178,7773,81
1179,7778,82
1180,7782,83
1181,7767,83
1182,7725,86
1183,7768,88
1184,7739,88
1185,7733,89
1186,7738,90
1187,7835,90
1188,7787,91
1189,7765,91
1190,7745,92
1191,7742,93
1192,7688,93
1193,7665,94
1194,7682,94
1195,7628,95
1196,7698,96
1197,7658,98
1198,7742,102
1199,7678,104
1200,7734,104
1201,7676,105
1202,7695,104
1203,7716,103
1204,7668,103
1205,7735,106
1206,7771,106
1207,7703,107
1208,7742,105
1209,7747,107
1210,7708,105
1211,7776,105
1212,7699,104
1213,7688,105
1214,7691,106
1215,7656,106
1216,7633,106
1217,7581,106
1218,7597,107
1219,7577,105
1220,7557,106
1221,7649,104
1222,7631,104
1223,7719,105
1224,7708,104
1225,7623,103
1226,7589,102
1227,7571,102
1228,7615,102
1229,7676,102
1230,7587,103
1231,7589,102
1232,7628,101
1233,7614,100
1234,7506,102
1235,7595,102
1236,7564,105
1237,7649,107
1238,7622,107
1239,7610,108
1240,7614,109
1241,7569,109
1242,7601,109
1243,7583,108
1244,7696,109
1245,7686,109
1246,7640,109
1247,7578,109
1248,7634,110
1249,7617,111
