timeStep,hosts,consumers
688,5762,2181
689,5768,2226
690,5789,2239
691,5820,2240
692,5856,2293
693,5953,2283
694,5968,2331
695,5966,2391
696,6033,2390
697,6097,2411
698,6089,2437
699,6129,2473
700,6149,2481
701,6160,2537
702,6200,2514
703,6181,2598
704,6143,2678
705,6086,2690
706,6026,2740
707,6006,2768
708,5979,2826
709,5927,2835
710,5856,2871
711,5778,2890
712,5737,2883
713,5681,2870
714,5637,2868
715,5601,2814
716,5477,2798
717,5453,2753
718,5403,2745
719,5330,2732
720,5241,2747
721,5174,2746
722,5073,2722
723,4976,2709
724,4932,2705
725,4878,2693
726,4801,2686
727,4744,2623
728,4653,2575
729,4653,2543
730,4619,2497
731,4557,2504
732,4570,2453
733,4616,2412
734,4588,2401
735,4582,2398
736,4583,2384
737,4576,2409
738,4545,2415
739,4545,2420
740,4497,2433
741,4483,2428
742,4495,2369
743,4538,2318
744,4589,2265
745,4641,2238
746,4633,2265
747,4597,2250
748,4637,2220
749,4672,2236
750,4699,2198
751,4773,2177
752,4761,2193
753,4810,2184
754,4827,2177
755,4858,2193
756,4882,2180
757,4862,2208
758,4838,2251
759,4858,2259
760,4874,2257
761,4893,2266
762,4904,2253
763,4918,2238
764,4858,2340
765,4801,2359
766,4862,2354
767,4827,2366
768,4838,2365
769,4804,2345
770,4747,2399
771,4722,2358
772,4673,2368
773,4598,2383
774,4581,2358
775,4563,2348
776,4576,2327
777,4535,2362
778,4477,2327
779,4508,2293
780,4520,2225
781,4580,2186
782,4649,2163
783,4652,2163
784,4739,2132
785,4776,2116
786,4811,2092
787,4881,2072
788,4897,2141
789,4959,2184
790,4962,2252
791,4953,2298
792,5038,2275
793,5063,2279
794,5130,2247
795,5223,2172
796,5294,2167
797,5428,2102
798,5552,2080
799,5686,2070
800,5764,2065
801,5931,2036
802,6080,1989
803,6175,2002
804,6276,1984
805,6342,2041
806,6415,2068
807,6462,2152
808,6481,2222
809,6443,2334
810,6401,2371
811,6336,2446
812,6250,2546
813,6162,2643
814,6082,2712
815,5962,2775
816,5845,2822
817,5687,2919
818,5655,2932
819,5523,2904
820,5409,2923
821,5283,2949
822,5109,2972
823,5026,2884
824,4956,2821
825,4887,2778
826,4809,2751
827,4761,2701
828,4705,2670
829,4649,2661
830,4609,2617
831,4565,2624
832,4491,2580
833,4436,2544
834,4397,2496
835,4352,2454
836,4325,2431
837,4313,2414
838,4319,2346
839,4367,2300
840,4361,2293
841,4416,2257
842,4475,2211
843,4451,2190
844,4473,2145
845,4470,2161
846,4518,2202
847,4454,2245
848,4469,2244
849,4427,2281
850,4453,2255
851,4441,2270
852,4438,2214
853,4461,2212
854,4404,2263
855,4371,2257
856,4369,2249
857,4426,2222
858,4514,2158
859,4588,2122
860,4660,2038
861,4744,2029
862,4810,2009
863,4909,1975
864,4994,1992
865,5081,1949
866,5182,1924
867,5267,1913
868,5265,1989
869,5234,2054
870,5296,2048
871,5333,2074
872,5315,2123
873,5301,2172
874,5319,2217
875,5273,2231
876,5248,2257
877,5263,2306
878,5323,2262
879,5338,2296
880,5345,2352
881,5349,2377
882,5326,2454
883,5320,2480
884,5367,2472
885,5393,2416
886,5421,2429
887,5437,2431
888,5475,2418
889,5516,2422
890,5585,2333
891,5624,2314
892,5659,2275
893,5621,2297
894,5663,2293
895,5668,2260
896,5625,2301
897,5636,2301
898,5609,2339
899,5625,2330
900,5617,2317
901,5574,2391
902,5514,2401
903,5417,2444
904,5353,2430
905,5252,2436
906,5170,2445
907,5119,2469
908,5083,2453
909,5093,2418
910,5059,2409
911,5068,2365
912,5092,2307
913,5095,2349
914,5060,2349
915,4988,2381
916,4947,2402
917,4937,2370
918,4879,2424
919,4833,2466
920,4898,2435
921,4891,2437
922,4908,2397
923,4900,2414
924,4994,2356
925,5026,2299
926,5103,2265
927,5132,2271
928,5135,2274
929,5184,2263
930,5222,2258
931,5266,2272
932,5294,2248
933,5338,2239
934,5347,2255
935,5357,2257
936,5384,2271
937,5363,2249
938,5455,2216
939,5510,2173
940,5546,2209
941,5547,2244
942,5582,2270
943,5594,2354
944,5569,2372
945,5524,2438
946,5461,2488
947,5436,2484
948,5358,2547
949,5349,2539
950,5246,2596
951,5257,2593
952,5173,2639
953,5081,2663
954,4995,2692
955,4886,2726
956,4821,2716
957,4695,2787
958,4619,2754
959,4560,2718
960,4453,2717
961,4378,2706
962,4290,2716
963,4262,2701
964,4157,2674
965,4043,2684
966,3930,2688
967,3894,2676
968,3899,2608
969,3876,2520
970,3848,2445
971,3911,2351
972,3909,2303
973,3948,2203
974,4025,2087
975,4106,2023
976,4219,1968
977,4259,1977
978,4286,1974
979,4286,2005
980,4334,1960
981,4358,1988
982,4380,2043
983,4417,2044
984,4478,2057
985,4498,2077
986,4515,2070
987,4598,2061
988,4657,2066
989,4635,2098
990,4653,2085
991,4749,2063
992,4752,2087
993,4791,2080
994,4851,2100
995,4866,2153
996,4927,2144
997,4982,2151
998,4984,2155
999,4995,2197
1000,4992,2211
1001,5011,2205
1002,5058,2166
1003,5056,2164
1004,5057,2198
1005,5085,2205
1006,5115,2236
1007,5143,2236
1008,5217,2232
1009,5252,2247
1010,5242,2268
1011,5238,2263
1012,5257,2271
1013,5289,2264
1014,5345,2253
1015,5401,2259
1016,5367,2286
1017,5365,2276
1018,5391,2215
1019,5400,2214
1020,5455,2189
1021,5524,2201
1022,5538,2258
1023,5453,2312
1024,5446,2330
1025,5413,2408
1026,5405,2414
1027,5382,2431
1028,5369,2478
1029,5304,2492
1030,5275,2498
1031,5232,2493
1032,5190,2513
1033,5255,2420
1034,5283,2392
1035,5264,2443
1036,5254,2433
1037,5266,2423
1038,5179,2475
1039,5095,2518
1040,4981,2556
1041,4856,2585
1042,4758,2597
1043,4664,2611
1044,4653,2605
1045,4648,2568
1046,4638,2560
1047,4626,2521
1048,4626,2474
1049,4658,2351
1050,4715,2284
1051,4743,2213
1052,4790,2155
1053,4845,2090
1054,4871,2058
1055,4951,1989
1056,5011,1977
1057,5026,2032
1058,4990,2090
1059,5036,2067
1060,5076,2079
1061,5116,2075
1062,5145,2056
1063,5189,2094
1064,5267,2100
1065,5284,2140
1066,5371,2134
1067,5358,2207
1068,5366,2187
1069,5359,2227
1070,5341,2265
1071,5341,2290
1072,5334,2290
