timeStep,hosts,consumers
976,13741,502
977,13823,497
978,13872,508
979,13926,520
980,13957,556
981,14012,560
982,14045,584
983,14077,596
984,14080,639
985,14069,661
986,14059,686
987,14046,730
988,14095,715
989,14132,705
990,14160,727
991,14183,738
992,14208,705
993,14241,704
994,14250,726
995,14248,765
996,14234,826
997,14219,853
998,14220,888
999,14191,908
1000,14163,939
1001,14089,985
1002,14027,1052
1003,13904,1132
1004,13830,1166
1005,13715,1220
1006,13631,1250
1007,13505,1303
1008,13415,1309
1009,13325,1317
1010,13233,1351
1011,13119,1413
1012,13003,1455
1013,12894,1484
1014,12792,1483
1015,12718,1451
1016,12637,1459
1017,12542,1470
1018,12440,1472
1019,12358,1471
1020,12280,1483
1021,12181,1486
1022,12099,1450
1023,12020,1415
1024,11927,1433
1025,11824,1462
1026,11677,1480
1027,11561,1494
1028,11427,1572
1029,11284,1595
1030,11161,1619
1031,11045,1621
1032,10916,1608
1033,10803,1603
1034,10681,1604
1035,10586,1596
1036,10434,1553
1037,10291,1575
1038,10153,1564
1039,10029,1550
1040,9910,1569
1041,9779,1572
1042,9643,1573
1043,9507,1575
1044,9386,1580
1045,9258,1578
1046,9144,1567
1047,8992,1588
1048,8902,1531
1049,8850,1490
1050,8780,1428
1051,8662,1446
1052,8576,1431
1053,8480,1427
1054,8365,1424
1055,8267,1412
1056,8197,1365
1057,8115,1367
1058,8074,1345
1059,8004,1312
1060,7909,1319
1061,7807,1307
1062,7698,1307
1063,7667,1264
1064,7590,1289
1065,7524,1278
1066,7428,1292
1067,7350,1317
1068,7311,1285
1069,7238,1285
1070,7174,1284
1071,7102,1290
1072,7034,1285
1073,6959,1288
1074,6897,1227
1075,6820,1227
1076,6755,1234
1077,6703,1233
1078,6647,1215
1079,6547,1250
1080,6524,1208
1081,6452,1210
1082,6393,1211
1083,6321,1210
1084,6240,1216
1085,6136,1235
1086,6074,1236
1087,6015,1224
1088,5951,1210
1089,5884,1184
1090,5850,1141
1091,5855,1111
1092,5822,1088
1093,5789,1092
1094,5805,1054
1095,5808,1027
1096,5796,998
1097,5788,970
1098,5799,938
1099,5817,905
1100,5784,898
1101,5789,876
1102,5810,882
1103,5796,873
1104,5787,886
1105,5786,865
1106,5784,863
1107,5813,829
1108,5831,815
1109,5868,799
1110,5921,752
1111,5962,709
1112,6025,676
1113,6064,665
1114,6153,631
1115,6196,614
1116,6258,599
1117,6344,564
1118,6423,567
1119,6495,538
1120,6576,520
1121,6632,529
1122,6714,540
1123,6795,508
1124,6894,517
1125,6980,531
1126,7070,533
1127,7149,549
1128,7238,542
1129,7306,566
1130,7370,573
1131,7436,580
1132,7497,575
1133,7605,550
1134,7707,520
1135,7800,524
1136,7878,521
1137,7985,507
1138,8070,497
1139,8190,474
1140,8307,463
1141,8399,457
1142,8488,458
1143,8626,445
1144,8735,443
1145,8863,453
1146,8978,444
1147,9083,447
1148,9183,457
1149,9276,473
1150,9364,504
1151,9439,531
1152,9541,553
1153,9624,598
1154,9705,614
1155,9754,628
1156,9813,648
1157,9854,673
1158,9924,674
1159,9954,680
1160,10015,707
1161,10047,746
1162,10095,771
1163,10104,803
1164,10099,867
1165,10113,906
1166,10102,936
1167,10100,963
1168,10128,1014
1169,10125,1058
1170,10153,1061
1171,10178,1074
1172,10157,1089
1173,10126,1112
1174,10104,1129
1175,10073,1164
1176,10069,1183
1177,10020,1195
1178,9991,1212
1179,9979,1214
1180,9960,1206
1181,9921,1216
1182,9876,1242
1183,9880,1258
1184,9859,1255
1185,9799,1277
1186,9767,1273
1187,9754,1264
1188,9758,1248
1189,9739,1256
1190,9735,1248
1191,9757,1243
1192,9692,1270
1193,9690,1258
1194,9693,1227
1195,9678,1240
1196,9649,1250
1197,9631,1233
1198,9613,1253
1199,9547,1264
1200,9520,1251
1201,9478,1263
1202,9447,1290
1203,9355,1358
1204,9312,1345
1205,9293,1351
1206,9247,1347
1207,9138,1403
1208,9077,1408
1209,8961,1433
1210,8888,1422
1211,8856,1418
1212,8766,1427
1213,8708,1412
1214,8644,1413
1215,8595,1420
1216,8500,1454
1217,8455,1437
1218,8389,1472
1219,8323,1473
1220,8224,1449
1221,8127,1465
1222,8034,1465
1223,7897,1502
1224,7820,1475
1225,7749,1498
