Animat,Speed,Size,Population,Day,Meanspeed,Meansize
5,2.0,12.0,91.0,4,2.0018246,12.005996
6,2.0,12.0,91.0,4,2.0018246,12.005996
7,2.0,12.0,91.0,4,2.0018246,12.005996
8,2.0,12.0,91.0,4,2.0018246,12.005996
9,2.0,12.0,91.0,4,2.0018246,12.005996
10,2.0,12.0,91.0,4,2.0018246,12.005996
11,2.0,12.0,91.0,4,2.0018246,12.005996
12,2.0,12.0,91.0,4,2.0018246,12.005996
13,2.0,12.0,91.0,4,2.0018246,12.005996
14,2.0,12.0,91.0,4,2.0018246,12.005996
15,2.0,12.0,91.0,4,2.0018246,12.005996
16,2.0,12.0,91.0,4,2.0018246,12.005996
17,2.0,12.0,91.0,4,2.0018246,12.005996
18,2.0,12.0,91.0,4,2.0018246,12.005996
19,2.0,12.0,91.0,4,2.0018246,12.005996
20,2.0,12.0,91.0,4,2.0018246,12.005996
21,2.0,12.0,91.0,4,2.0018246,12.005996
22,2.0,12.0,91.0,4,2.0018246,12.005996
23,2.0,12.0,91.0,4,2.0018246,12.005996
24,2.0,12.0,91.0,4,2.0018246,12.005996
25,2.0,12.0,91.0,4,2.0018246,12.005996
26,2.0,12.0,91.0,4,2.0018246,12.005996
27,2.0,12.0,91.0,4,2.0018246,12.005996
28,2.0,12.0,91.0,4,2.0018246,12.005996
29,2.0,12.0,91.0,4,2.0018246,12.005996
30,2.0,12.0,91.0,4,2.0018246,12.005996
31,2.0,12.0,91.0,4,2.0018246,12.005996
32,2.0,12.0,91.0,4,2.0018246,12.005996
33,2.0,12.0,91.0,4,2.0018246,12.005996
34,2.0,12.0,91.0,4,2.0018246,12.005996
35,2.0,12.0,91.0,4,2.0018246,12.005996
36,2.0,12.0,91.0,4,2.0018246,12.005996
37,2.0,12.0,91.0,4,2.0018246,12.005996
38,2.0,12.0,91.0,4,2.0018246,12.005996
39,2.0,12.0,91.0,4,2.0018246,12.005996
40,2.0,12.0,91.0,4,2.0018246,12.005996
41,2.0,12.0,91.0,4,2.0018246,12.005996
42,2.0,12.0,91.0,4,2.0018246,12.005996
43,2.0,12.0,91.0,4,2.0018246,12.005996
44,2.0,12.0,91.0,4,2.0018246,12.005996
45,2.0,12.0,91.0,4,2.0018246,12.005996
46,2.0,12.0,91.0,4,2.0018246,12.005996
47,2.0,12.0,91.0,4,2.0018246,12.005996
48,2.0,12.0,91.0,4,2.0018246,12.005996
49,2.0,12.0,91.0,4,2.0018246,12.005996
50,2.0,12.0,91.0,4,2.0018246,12.005996
51,2.0,12.0,91.0,4,2.0018246,12.005996
52,1.9316461,12.0,91.0,4,2.0018246,12.005996
53,2.0,12.0,91.0,4,2.0018246,12.005996
54,2.0,12.0,91.0,4,2.0018246,12.005996
55,2.0,12.0,91.0,4,2.0018246,12.005996
56,1.9937769,12.0,91.0,4,2.0018246,12.005996
57,2.0,12.0,91.0,4,2.0018246,12.005996
58,2.0,12.0,91.0,4,2.0018246,12.005996
59,2.0,12.0,91.0,4,2.0018246,12.005996
60,2.0,12.0,91.0,4,2.0018246,12.005996
61,2.0,12.0,91.0,4,2.0018246,12.005996
62,2.0,12.0,91.0,4,2.0018246,12.005996
63,2.0,12.0,91.0,4,2.0018246,12.005996
64,2.0,12.0,91.0,4,2.0018246,12.005996
65,2.0,12.0,91.0,4,2.0018246,12.005996
66,2.0,12.0,91.0,4,2.0018246,12.005996
67,2.0,12.0,91.0,4,2.0018246,12.005996
68,2.0,12.0,91.0,4,2.0018246,12.005996
69,2.0,12.0,91.0,4,2.0018246,12.005996
70,2.0,12.0,91.0,4,2.0018246,12.005996
71,2.0,12.0,91.0,4,2.0018246,12.005996
72,2.0,12.0,91.0,4,2.0018246,12.005996
73,2.0,12.0,91.0,4,2.0018246,12.005996
74,2.0,12.0,91.0,4,2.0018246,12.005996
75,2.0,12.0,91.0,4,2.0018246,12.005996
76,2.0,12.0,91.0,4,2.0018246,12.005996
77,2.0796175,12.0,91.0,4,2.0018246,12.005996
78,2.0973287,12.0,91.0,4,2.0018246,12.005996
79,2.0,12.0,91.0,4,2.0018246,12.005996
80,2.0,12.0,91.0,4,2.0018246,12.005996
81,2.0,12.0,91.0,4,2.0018246,12.005996
82,2.0,12.545697,91.0,4,2.0018246,12.005996
83,2.0,12.0,91.0,4,2.0018246,12.005996
84,2.0,12.0,91.0,4,2.0018246,12.005996
85,2.0636635,12.0,91.0,4,2.0018246,12.005996
86,2.0,12.0,91.0,4,2.0018246,12.005996
87,2.0,12.0,91.0,4,2.0018246,12.005996
88,2.0,12.0,91.0,4,2.0018246,12.005996
89,2.0,12.0,91.0,4,2.0018246,12.005996
90,2.0,12.0,91.0,4,2.0018246,12.005996
